epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,114.388,0.3181,0.98512,1,0.03986,0.000550876,0.000550876,0.000550876
2,203.665,0.09959,0.98214,1,0.06139,0.00109559,0.00109559,0.00109559
3,291.297,0.15509,0.97321,1,0.08212,0.0016293,0.0016293,0.0016293
4,391.257,0.21475,0.99107,1,0.06604,0.00161749,0.00161749,0.00161749
5,503.193,0.14627,0.97917,1,0.05248,0.00160099,0.00160099,0.00160099
6,611.706,0.10427,0.96726,1,0.1223,0.00158448,0.00158448,0.00158448
7,724.562,0.09391,0.9494,1,0.11497,0.00156798,0.00156798,0.00156798
8,831.389,0.09035,0.97917,1,0.06304,0.00155148,0.00155148,0.00155148
9,937.81,0.06155,0.97619,1,0.06058,0.00153497,0.00153497,0.00153497
10,1044.7,0.10766,0.99405,1,0.02765,0.00151847,0.00151847,0.00151847
11,1151.4,0.06619,0.98214,1,0.03519,0.00150197,0.00150197,0.00150197
12,1259.56,0.05611,0.97917,1,0.03971,0.00148546,0.00148546,0.00148546
13,1366.43,0.06962,1,1,0.01685,0.00146896,0.00146896,0.00146896
14,1470.85,0.03681,0.9494,1,0.09445,0.00145246,0.00145246,0.00145246
15,1574.72,0.04091,0.99107,1,0.02953,0.00143595,0.00143595,0.00143595
16,1678.01,0.05184,0.98512,1,0.04037,0.00141945,0.00141945,0.00141945
17,1783.16,0.04615,0.99702,1,0.01374,0.00140295,0.00140295,0.00140295
18,1885.42,0.03789,1,1,0.00244,0.00138644,0.00138644,0.00138644
19,1991.85,0.04334,1,1,0.00819,0.00136994,0.00136994,0.00136994
20,2099.81,0.02608,0.98214,1,0.051,0.00135344,0.00135344,0.00135344
21,2204.17,0.02758,1,1,0.00545,0.00133693,0.00133693,0.00133693
22,2306.24,0.03525,1,1,0.0064,0.00132043,0.00132043,0.00132043
23,2411.01,0.02192,0.99702,1,0.00882,0.00130393,0.00130393,0.00130393
24,2520.13,0.02878,0.99702,1,0.01182,0.00128742,0.00128742,0.00128742
25,2628.21,0.04452,0.99702,1,0.01073,0.00127092,0.00127092,0.00127092
26,2733.18,0.0373,0.99702,1,0.00746,0.00125442,0.00125442,0.00125442
27,2838.34,0.03055,0.99702,1,0.01133,0.00123791,0.00123791,0.00123791
28,2940.95,0.03671,0.99702,1,0.01452,0.00122141,0.00122141,0.00122141
29,3047.47,0.05009,0.9881,1,0.02236,0.00120491,0.00120491,0.00120491
30,3150.51,0.0348,1,1,0.00727,0.0011884,0.0011884,0.0011884
31,3233.96,0.03002,1,1,0.00205,0.0011719,0.0011719,0.0011719
32,3319.14,0.03261,0.99702,1,0.00465,0.0011554,0.0011554,0.0011554
33,3405.54,0.02845,1,1,0.00708,0.00113889,0.00113889,0.00113889
34,3486.6,0.01749,1,1,0.00158,0.00112239,0.00112239,0.00112239
35,3567.06,0.03003,1,1,0.00383,0.00110589,0.00110589,0.00110589
36,3648.01,0.0189,1,1,0.00262,0.00108938,0.00108938,0.00108938
37,3728.92,0.02147,0.99702,1,0.00931,0.00107288,0.00107288,0.00107288
38,3809.49,0.02356,1,1,0.00188,0.00105638,0.00105638,0.00105638
39,3890.22,0.01601,1,1,0.00618,0.00103987,0.00103987,0.00103987
40,3971.73,0.01954,1,1,0.00361,0.00102337,0.00102337,0.00102337
41,4052.66,0.02731,0.99702,1,0.00585,0.00100687,0.00100687,0.00100687
42,4133.21,0.01294,0.99405,1,0.0078,0.000990365,0.000990365,0.000990365
43,4213.96,0.00953,1,1,0.00313,0.000973861,0.000973861,0.000973861
44,4295.05,0.01718,1,1,0.0017,0.000957358,0.000957358,0.000957358
45,4375.62,0.01551,1,1,0.00752,0.000940855,0.000940855,0.000940855
46,4456.19,0.01267,0.99702,1,0.00368,0.000924352,0.000924352,0.000924352
47,4536.45,0.00815,1,1,0.0007,0.000907848,0.000907848,0.000907848
48,4617.05,0.01427,1,1,0.00139,0.000891345,0.000891345,0.000891345
49,4697.66,0.01044,1,1,0.0009,0.000874842,0.000874842,0.000874842
50,4777.87,0.00799,1,1,0.00177,0.000858338,0.000858338,0.000858338
51,4858.02,0.0099,1,1,0.00104,0.000841835,0.000841835,0.000841835
52,4938.89,0.01678,1,1,0.00247,0.000825332,0.000825332,0.000825332
53,5019.21,0.02226,0.99702,1,0.00615,0.000808828,0.000808828,0.000808828
54,5099.47,0.01125,1,1,0.00221,0.000792325,0.000792325,0.000792325
55,5180.11,0.00659,1,1,0.00124,0.000775822,0.000775822,0.000775822
56,5260.69,0.0128,1,1,0.00152,0.000759318,0.000759318,0.000759318
57,5340.92,0.00843,1,1,0.00065,0.000742815,0.000742815,0.000742815
58,5422.14,0.00744,1,1,0.00047,0.000726312,0.000726312,0.000726312
59,5502.91,0.01721,1,1,0.00389,0.000709809,0.000709809,0.000709809
60,5583.44,0.00699,1,1,0.00106,0.000693305,0.000693305,0.000693305
61,5664.32,0.0044,1,1,0.0004,0.000676802,0.000676802,0.000676802
62,5745.07,0.00685,1,1,0.0013,0.000660299,0.000660299,0.000660299
63,5826.8,0.00581,1,1,0.00263,0.000643795,0.000643795,0.000643795
64,5907.96,0.00972,1,1,0.00098,0.000627292,0.000627292,0.000627292
65,5988.91,0.01384,1,1,0.00179,0.000610789,0.000610789,0.000610789
66,6069.67,0.05091,1,1,0.00465,0.000594286,0.000594286,0.000594286
67,6150.41,0.01752,1,1,0.00277,0.000577782,0.000577782,0.000577782
