epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.401,0,103.532,0,0,0,0,0,0,199.095,0,0.000546847,0.000546847,0.000546847
2,822.823,0,75.1169,0,0,0,0,0,0,126.327,0,0.00108068,0.00108068,0.00108068
3,1284.31,0,55.5826,0,0,0,0,0,0,107.647,0,0.00159252,0.00159252,0.00159252
4,1746.16,0,35.7341,0,0,0,0,0,0,107.3,0,0.00156798,0.00156798,0.00156798
5,2068,0,19.9133,0,0,0,0,0,0,42.1444,0,0.00153497,0.00153497,0.00153497
6,2373.8,0,10.2411,0,0,0,0,0,0,14.497,0,0.00150197,0.00150197,0.00150197
7,2680.14,0,4.79917,0,0,0,0,0,0,6.70102,0,0.00146896,0.00146896,0.00146896
8,2983.41,0,2.08507,0,0,0,0,0,0,2.40132,0,0.00143595,0.00143595,0.00143595
9,3289.96,0,0.86241,0,0,0,0,0,0,0.92617,0,0.00140295,0.00140295,0.00140295
10,3590.75,0,0.35665,0,0,0,0,0,0,0.40932,0,0.00136994,0.00136994,0.00136994
11,3888.91,0,0.11883,0,0,0,0,0,0,0.0905,0,0.00133693,0.00133693,0.00133693
